list,n_ts,n_serie,ref,sim
1,6,1,-1.6198658342816146e-06,-3.260993969129218e-06
1,6,1,-1.6762852426704028e-06,-3.301931781982443e-06
1,6,1,-1.7329098711942004e-06,-3.3418473798741612e-06
1,6,1,-1.7897874681012294e-06,-3.380717527707351e-06
1,6,1,-1.8469016919555488e-06,-3.4185193657447235e-06
1,6,1,-1.90441109364864e-06,-3.4552304238106227e-06
1,6,1,-1.962439241614188e-06,-3.490828635389697e-06
1,6,1,-2.0208902456664024e-06,-3.525292351614349e-06
1,6,1,-2.0794004200005427e-06,-3.5586003551330136e-06
1,6,1,-2.1377295107462792e-06,-3.5907318738512864e-06
1,6,1,-2.1961652987114365e-06,-3.621666594537966e-06
1,6,1,-2.2546417055520147e-06,-3.6513846762880765e-06
1,6,1,-2.313090249493193e-06,-3.6798667638349783e-06
1,6,1,-2.3718493156074685e-06,-3.7070940007036738e-06
1,6,1,-2.430678414952521e-06,-3.7330480421974867e-06
1,6,1,-2.489377462211856e-06,-3.757711068210301e-06
1,6,1,-2.5483003121186194e-06,-3.781065795856596e-06
1,6,1,-2.6073807902786736e-06,-3.8030954919115742e-06
1,6,1,-2.6669620086684927e-06,-3.823783985053707e-06
1,6,1,-2.7269320270392544e-06,-3.843115677902104e-06
1,6,1,-2.786977775890173e-06,-3.86107555884115e-06
1,6,1,-2.847115761459054e-06,-3.877649213624937e-06
1,6,1,-2.907355371568164e-06,-3.892822836754081e-06
1,6,1,-2.967570782050536e-06,-3.906583242617579e-06
1,6,1,-3.0278238607978138e-06,-3.91891787639246e-06
1,6,1,-3.087860074349152e-06,-3.929814824694045e-06
1,6,1,-3.147500991855027e-06,-3.93926282596974e-06
1,6,1,-3.2068355615732114e-06,-3.947251280629355e-06
1,6,1,-3.2655380663464654e-06,-3.953770260905059e-06
1,6,1,-3.323642454379852e-06,-3.958810520434156e-06
1,6,1,-3.3816168061104587e-06,-3.962363503558006e-06
1,6,1,-3.4393281699128917e-06,-3.964421354330484e-06
1,6,1,-3.4963332352151284e-06,-3.964976925229514e-06
1,6,1,-3.552544706334571e-06,-3.964023785565303e-06
1,6,1,-3.6082007213727017e-06,-3.96155622957905e-06
1,6,1,-3.663573070931479e-06,-3.957569284225996e-06
1,6,1,-3.718361137198338e-06,-3.952058716636829e-06
1,6,1,-3.772451467875081e-06,-3.945021041251588e-06
1,6,1,-3.825622489536447e-06,-3.936453526620336e-06
1,6,1,-3.87797679853965e-06,-3.926354201864996e-06
1,6,1,-3.929702079340045e-06,-3.914721862796928e-06
1,6,1,-3.980527089821218e-06,-3.901556077684917e-06
1,6,1,-4.030610862886487e-06,-3.88685719266842e-06
1,6,1,-4.079974211524077e-06,-3.870626336811069e-06
1,6,1,-4.128255831392858e-06,-3.8528654267895615e-06
1,6,1,-4.1760055448403805e-06,-3.833577171213239e-06
1,6,1,-4.223265403468109e-06,-3.8127650745698244e-06
1,6,1,-4.269730780369312e-06,-3.790433440792913e-06
1,6,1,-4.315487910418167e-06,-3.7665873764470174e-06
1,6,1,-4.360118235762847e-06,-3.741232793526106e-06
1,6,1,-4.404035799370384e-06,-3.7143764118617515e-06
1,6,1,-4.4476286336815765e-06,-3.686025761137182e-06
1,6,1,-4.490239993320852e-06,-3.65618918250369e-06
1,6,1,-4.531867010972364e-06,-3.624875829796036e-06
1,6,1,-4.572894955303823e-06,-3.5920956703436667e-06
1,6,1,-4.61322872196981e-06,-3.557859485374733e-06
1,6,1,-4.6525025224936326e-06,-3.5221788700100925e-06
1,6,1,-4.690871406243341e-06,-3.485066232844648e-06
1,6,1,-4.728520979083568e-06,-3.4465347951135694e-06
1,6,1,-4.765038440291735e-06,-3.4065985894411318e-06
1,6,1,-4.800492073411899e-06,-3.3652724581700936e-06
1,6,1,-4.834752916016223e-06,-3.322572051269716e-06
1,6,1,-4.867925399352399e-06,-3.2785138238207414e-06
1,6,1,-4.899848749422942e-06,-3.2331150330758165e-06
1,6,1,-4.930031600495091e-06,-3.1863937350940625e-06
1,6,1,-4.959207489730025e-06,-3.138368780948673e-06
1,6,1,-4.987176629621607e-06,-3.0890598125066397e-06
1,6,1,-5.013309547839801e-06,-3.038487257779881e-06
1,6,1,-5.037884404905628e-06,-2.9866723258472667e-06
1,6,1,-5.060884589437865e-06,-2.933637001347236e-06
1,6,1,-5.082078336581727e-06,-2.879404038540891e-06
1,6,1,-5.101677078882519e-06,-2.8239969549456697e-06
1,6,1,-5.119780084627572e-06,-2.767440024539907e-06
1,6,1,-5.135896867969228e-06,-2.709758270538785e-06
1,6,1,-5.150042723920526e-06,-2.6509774577423947e-06
1,6,1,-5.162912852123906e-06,-2.5911240844568453e-06
1,6,1,-5.174327735040814e-06,-2.53022537398954e-06
1,6,1,-5.183564898533037e-06,-2.4683092657199854e-06
1,6,1,-5.190736867570851e-06,-2.405404405747681e-06
1,6,1,-5.195902597375328e-06,-2.3415401371188707e-06
1,6,1,-5.19869863802707e-06,-2.276746489634128e-06
1,6,1,-5.199684102598492e-06,-2.211054169238997e-06
1,6,1,-5.198971362458874e-06,-2.1444945470000845e-06
1,6,1,-5.196011822212235e-06,-2.077099647669244e-06
1,6,1,-5.190663658628486e-06,-2.0089021378387e-06
1,6,1,-5.182721712367721e-06,-1.9399353136901704e-06
1,6,1,-5.1723247267404725e-06,-1.8702330883412836e-06
1,6,1,-5.159454970031131e-06,-1.799829978792776e-06
1,6,1,-5.14417056629439e-06,-1.7287610924802007e-06
1,6,1,-5.126468018993968e-06,-1.657062113434087e-06
1,6,1,-5.106287707452884e-06,-1.5847692880527035e-06
1,6,1,-5.083700276743725e-06,-1.5119194104918125e-06
1,6,1,-5.058446190929477e-06,-1.4385498076760145e-06
1,6,1,-5.030663217536683e-06,-1.3646983239364995e-06
1,6,1,-5.000060098653054e-06,-1.290403305280256e-06
1,6,1,-4.966521427909897e-06,-1.2157035832959915e-06
1,6,1,-4.930886193921622e-06,-1.1406384587022563e-06
1,6,1,-4.8928680802463625e-06,-1.0652476845434734e-06
1,6,1,-4.852113253465126e-06,-9.895714490397994e-07
1,6,1,-4.808677291642564e-06,-9.136503580969632e-07
1,6,1,-4.762283765255073e-06,-8.375254174824503e-07
1,6,1,-4.713021626240802e-06,-7.612380146746175e-07
1,6,1,-4.660979748337293e-06,-6.848299003915427e-07
1,6,1,-4.605897131450587e-06,-6.083431698066335e-07
1,6,1,-4.547845110135039e-06,-5.318202434582334e-07
1,6,1,-4.4871899692051365e-06,-4.5530384786068425e-07
1,6,1,-4.423712155569718e-06,-3.788369958245143e-07
1,6,1,-4.357259912176186e-06,-3.024629664936383e-07
1,6,1,-4.288009548037444e-06,-2.2622528510766734e-07
1,6,1,-4.2158220241940855e-06,-1.5016770249763546e-07
1,6,1,-4.140606972694465e-06,-7.433417432366219e-08
1,6,1,-4.062386333667515e-06,1.231159936726888e-09
1,6,1,-3.981139129934373e-06,7.648399824069175e-08
1,6,1,-3.896849263576035e-06,1.5137989746345076e-07
1,6,1,-3.809374205876369e-06,2.2587429510360352e-07
1,6,1,-3.718772150458877e-06,2.999225312008757e-07
1,6,1,-3.624955298520607e-06,3.7347987045656324e-07
1,6,1,-3.5279475815530005e-06,4.46501524546762e-07
1,6,1,-3.4277069614933225e-06,5.189426746182826e-07
1,6,1,-3.324181840085639e-06,5.907584939569634e-07
1,6,1,-3.217698886374708e-06,6.619041708179167e-07
1,6,1,-3.108091804636969e-06,7.323349314070657e-07
1,6,1,-2.995179906824984e-06,8.020060630031555e-07
1,6,1,-2.8793036594825512e-06,8.708729372092605e-07
1,6,1,-2.760256344722774e-06,9.388910333226358e-07
1,6,1,-2.637855966830176e-06,1.0060159618116138e-06
1,6,1,-2.51256945585929e-06,1.0722034878880873e-06
1,6,1,-2.384298062240674e-06,1.1374095551639732e-06
1,6,1,-2.252847752339241e-06,1.2015903093799103e-06
1,6,1,-2.118480706582705e-06,1.264702122194307e-06
1,6,1,-1.981359388305708e-06,1.3267016150207254e-06
1,6,1,-1.841286471202762e-06,1.387545682901461e-06
1,6,1,-1.6982134434390691e-06,1.4471915184050637e-06
1,6,1,-1.5522927633339328e-06,1.5055966355354305e-06
1,6,1,-1.4036161166412677e-06,1.5627188936399968e-06
1,6,1,-1.2522975128881898e-06,1.6185165213044583e-06
1,6,1,-1.0982252275682607e-06,1.672948140221362e-06
1,6,1,-9.417122571058554e-07,1.7259727890198222e-06
1,6,1,-7.829827386826638e-07,1.777549947043545e-06
1,6,1,-6.218533887463796e-07,1.8276395580642722e-06
1,6,1,-4.583161878908735e-07,1.8762020539177018e-06
1,6,1,-2.924366707607526e-07,1.923198378048886e-06
1,6,1,-1.2419247439462109e-07,1.968590008954063e-06
1,6,1,4.6525292610426246e-08,2.012338983505852e-06
1,6,1,2.194204697006889e-07,2.0544079201487e-06
1,6,1,3.946024621567229e-07,2.094760041951465e-06
1,6,1,5.723248601590031e-07,2.1333591995040016e-06
1,6,1,7.523406450279854e-07,2.1701698936446153e-06
1,6,1,9.346255086205552e-07,2.2051572980052588e-06
1,6,1,1.1190092867455222e-06,2.2382872813613664e-06
1,6,1,1.3049880294366005e-06,2.2695264297732366e-06
1,6,1,1.4925821391151478e-06,2.298842068505915e-06
1,6,1,1.681625845860705e-06,2.3262022837145724e-06
1,6,1,1.8720169784235288e-06,2.3515759438824175e-06
1,6,1,2.0638257461767216e-06,2.3749327209982533e-06
1,6,1,2.256722555870801e-06,2.3962431114608493e-06
1,6,1,2.4505823560763603e-06,2.41547845669738e-06
1,6,1,2.6457041059943022e-06,2.432610963483267e-06
1,6,1,2.8419570556248285e-06,2.4476137239508627e-06
1,6,1,3.038956597850412e-06,2.4604607352745072e-06
1,6,1,3.236763970470399e-06,2.4711269190196104e-06
1,6,1,3.4356819134884622e-06,2.47958814014352e-06
1,6,1,3.635800158128137e-06,2.4858212256360898e-06
1,6,1,3.836884009208787e-06,2.4898039827879606e-06
1,6,1,4.038925586572442e-06,2.491515217074747e-06
1,6,1,4.241828655353125e-06,2.4909347496454504e-06
1,6,1,4.445472196803941e-06,2.4880434344035895e-06
1,6,1,4.6499373733068064e-06,2.4828231746697047e-06
1,6,1,4.855011150243236e-06,2.4752569394140598e-06
1,6,1,5.06059132662479e-06,2.4653287790485556e-06
1,6,1,5.266510872664957e-06,2.4530238407670465e-06
1,6,1,5.472634388123435e-06,2.438328383423451e-06
1,6,1,5.678871817869742e-06,2.4212297919372453e-06
1,6,1,5.88542974321546e-06,2.4017165912161352e-06
1,6,1,6.0920887164492525e-06,2.3797784595859096e-06
1,6,1,6.298070576818586e-06,2.355406241717702e-06
1,6,1,6.503676278176262e-06,2.3285919610431034e-06
1,6,1,6.708841097408693e-06,2.299328831647797e-06
1,6,1,6.913401862608628e-06,2.2676112696346223e-06
1,6,1,7.117127029401713e-06,2.2334349039472037e-06
1,6,1,7.319695729006508e-06,2.1967965866455314e-06
1,6,1,7.521176419246005e-06,2.157694402625113e-06
1,6,1,7.72142068897608e-06,2.1161276787715727e-06
1,6,1,7.920048426493623e-06,2.072096992542822e-06
1,6,1,8.11710160855503e-06,2.025604179971187e-06
1,6,1,8.312976773037234e-06,1.9766523430781224e-06
1,6,1,8.507720510431718e-06,1.9252458566944198e-06
1,6,1,8.700858614199204e-06,1.8713903746790687e-06
1,6,1,8.892273189016018e-06,1.8150928355301985e-06
1,6,1,9.082463183022096e-06,1.7563614673818021e-06
1,6,1,9.271257660565886e-06,1.6952057923802046e-06
1,6,1,9.458275998425173e-06,1.6316366304345184e-06
1,6,1,9.643723118071651e-06,1.5656661023355944e-06
1,6,1,9.827343061099406e-06,1.4973076322382593e-06
1,6,1,1.000859881423229e-05,1.4265759495019012e-06
1,6,1,1.018761648071447e-05,1.353487089884749e-06
1,6,1,1.0364356596340504e-05,1.2780583960874544e-06
1,6,1,1.0538629727680662e-05,1.2003085176418943e-06
1,6,1,1.071043603358078e-05,1.1202574101413562e-06
1,6,1,1.08797756834821e-05,1.0379263338085802e-06
1,6,1,1.1046659278315457e-05,9.53337851398397e-07
1,6,1,1.1210658463674635e-05,8.665158254319884e-07
1,6,1,1.1371642929997235e-05,7.774854147600829e-07
1,6,1,1.1529915837681113e-05,6.862730704526781e-07
1,6,1,1.1684919654633471e-05,5.929065310131717e-07
1,6,1,1.1836481284144657e-05,4.974148169150648e-07
1,6,1,1.1984657135522684e-05,3.998282244596868e-07
1,6,1,1.212949571282157e-05,3.001783189536823e-07
1,6,1,1.2271138342185513e-05,1.9849792720528207e-07
1,6,1,1.2408836160667024e-05,9.482112933867252e-08
1,6,1,1.2542381124631273e-05,-1.0816750073933995e-08
1,6,1,1.2671908096508532e-05,-1.1837915156263642e-07
1,6,1,1.2797183837071811e-05,-2.2782829099240626e-07
1,6,1,1.2918112888427756e-05,-3.391251704773979e-07
1,6,1,1.3034273206240452e-05,-4.522295899762392e-07
1,6,1,1.3145598627311325e-05,-5.671001595672393e-07
1,6,1,1.3252123866219788e-05,-6.836943124021545e-07
1,6,1,1.3353519653572676e-05,-8.01968318336856e-07
1,6,1,1.3449865995890608e-05,-9.218772982369417e-07
1,6,1,1.3541102531411956e-05,-1.043375238956039e-06
1,6,1,1.3627082656047697e-05,-1.1664150089842321e-06
1,6,1,1.3707991824230636e-05,-1.2909483747637545e-06
1,6,1,1.3783652330550911e-05,-1.4169260176687712e-06
1,6,1,1.3853909643596283e-05,-1.5442975516457693e-06
1,6,1,1.3918769743205397e-05,-1.6730115415107619e-06
1,6,1,1.397791476906883e-05,-1.8030155218991966e-06
1,6,1,1.403111861241956e-05,-1.9342560168641434e-06
