list,n_ts,ref
1,1,2.2486582432725737e-07
1,1,2.1902942739436815e-07
1,1,2.1304024400942165e-07
1,1,2.0689619750226537e-07
1,1,2.0063285902650246e-07
1,1,1.9434245919186048e-07
1,1,1.8804539145153453e-07
1,1,1.8173406984066762e-07
1,1,1.754263253172054e-07
1,1,1.6900285933256354e-07
1,1,1.625350860715872e-07
1,1,1.5602046939048054e-07
1,1,1.4943567935656417e-07
1,1,1.4265665397813876e-07
1,1,1.356213828893891e-07
1,1,1.285508801209418e-07
1,1,1.21610325523407e-07
1,1,1.1465504606299589e-07
1,1,1.0760180093212613e-07
1,1,1.0054853643224313e-07
1,1,9.346256066545318e-08
1,1,8.639047583041388e-08
1,1,7.931871481384313e-08
1,1,7.215610306592815e-08
1,1,6.497290942086842e-08
1,1,5.766363223618824e-08
1,1,5.0188219083308436e-08
1,1,4.273854740154807e-08
1,1,3.527583007854931e-08
1,1,2.768050495845e-08
1,1,1.9881631900930673e-08
1,1,1.1827820779569616e-08
1,1,3.589038979891816e-09
1,1,-4.768409848787482e-09
1,1,-1.3176773844934157e-08
1,1,-2.155602810355253e-08
1,1,-3.0010183633364344e-08
1,1,-3.855537543923626e-08
1,1,-4.702706714400555e-08
1,1,-5.5410784754036865e-08
1,1,-6.379376851204685e-08
1,1,-7.208731018451845e-08
1,1,-8.026661943241252e-08
1,1,-8.829492185358787e-08
1,1,-9.611442754485713e-08
1,1,-1.0375488252708008e-07
1,1,-1.112072363646041e-07
1,1,-1.1848937913415017e-07
1,1,-1.256075177032371e-07
1,1,-1.3252385847608412e-07
1,1,-1.391141287829574e-07
1,1,-1.4533148933727e-07
1,1,-1.511540571256368e-07
1,1,-1.567016433137589e-07
1,1,-1.6198910930962337e-07
1,1,-1.668218958664219e-07
1,1,-1.714036799966777e-07
1,1,-1.7585225737671289e-07
1,1,-1.8010951335041205e-07
1,1,-1.8418425868400935e-07
1,1,-1.880666203600081e-07
1,1,-1.917935599469596e-07
1,1,-1.953195874881343e-07
1,1,-1.9852395878945802e-07
1,1,-2.0148082409817787e-07
1,1,-2.0418598231896533e-07
1,1,-2.065744199048961e-07
1,1,-2.088093985174655e-07
1,1,-2.1089888259919747e-07
1,1,-2.1283669830301466e-07
1,1,-2.1446074597509798e-07
1,1,-2.1572807258752435e-07
1,1,-2.1682280571817e-07
1,1,-2.1775900899539774e-07
1,1,-2.1849799051358346e-07
1,1,-2.1896147843453405e-07
1,1,-2.1926657424862579e-07
1,1,-2.195999831522871e-07
1,1,-2.197784432121175e-07
1,1,-2.1966757608848445e-07
1,1,-2.1943283301597529e-07
1,1,-2.190458684753817e-07
1,1,-2.184518271274289e-07
1,1,-2.177347712135709e-07
1,1,-2.1680789219453755e-07
1,1,-2.1583696017343494e-07
1,1,-2.1486564433826858e-07
1,1,-2.137262148216974e-07
1,1,-2.1244067112663017e-07
1,1,-2.1108626383664265e-07
1,1,-2.097118811540706e-07
1,1,-2.082599279854469e-07
1,1,-2.067638943127235e-07
1,1,-2.0524346135277367e-07
1,1,-2.0370941469039025e-07
