list,n_ts,ref,sim
1,1,-1.559518465919005e-07,1.3803787602697235e-08
1,1,-1.6019312241154528e-07,1.3145497936883384e-08
1,1,-1.6434489026974665e-07,1.2465220063866215e-08
1,1,-1.684724314798303e-07,1.1763117437600718e-08
1,1,-1.7247892231471507e-07,1.1039365824447053e-08
1,1,-1.764111602687589e-07,1.0294153295432148e-08
1,1,-1.803283779252077e-07,9.527680212210782e-09
1,1,-1.8424274691928499e-07,8.740159206695205e-09
1,1,-1.8812502302879544e-07,7.931815154325181e-09
1,1,-1.917409322033474e-07,7.102885140952908e-09
1,1,-1.9511294190787758e-07,6.2536184233201075e-09
1,1,-1.983444474845563e-07,5.384276383107283e-09
1,1,-2.015866376440581e-07,4.495132474537866e-09
1,1,-2.048590587583587e-07,3.586472165522744e-09
1,1,-2.080374177852136e-07,2.658592872333403e-09
1,1,-2.110697824028968e-07,1.7118038877946848e-09
1,1,-2.139002055878875e-07,7.464263029909243e-10
1,1,-2.1665720445528355e-07,-2.372070775179884e-10
1,1,-2.193599110378815e-07,-1.2387518269712933e-09
1,1,-2.2197897964789225e-07,-2.257851994170664e-09
1,1,-2.2454506549492585e-07,-3.294140207727201e-09
1,1,-2.2700564536044282e-07,-4.3472377867843675e-09
1,1,-2.2932696947841058e-07,-5.416754858206283e-09
1,1,-2.3168055615857738e-07,-6.502290480217953e-09
1,1,-2.340136267735146e-07,-7.603432772481143e-09
1,1,-2.3619967867765985e-07,-8.719759052586749e-09
1,1,-2.383317805856576e-07,-9.850835978941592e-09
1,1,-2.4038016410404736e-07,-1.0996219700024678e-08
1,1,-2.422559472577517e-07,-1.2155456009985033e-08
1,1,-2.440676583314853e-07,-1.3328080510550212e-08
1,1,-2.459352933608877e-07,-1.4513618779211718e-08
1,1,-2.47903235131484e-07,-1.571158654365041e-08
1,1,-2.497439644553609e-07,-1.6921489862362126e-08
1,1,-2.51333837725436e-07,-1.8142825311440508e-08
1,1,-2.528979568662499e-07,-1.9375080177471133e-08
1,1,-2.5435868574481254e-07,-2.0617732656487744e-08
1,1,-2.556884871381943e-07,-2.187025205893841e-08
1,1,-2.57084044168268e-07,-2.3132099020606158e-08
1,1,-2.584263001992244e-07,-2.4402725719425464e-08
1,1,-2.596701565331958e-07,-2.5681576098132795e-08
1,1,-2.609188962303699e-07,-2.6968086092686052e-08
1,1,-2.621410806676222e-07,-2.8261683866384497e-08
1,1,-2.633390603702791e-07,-2.9561790049617502e-08
1,1,-2.6458290329129294e-07,-3.0867817985166975e-08
1,1,-2.659038734680109e-07,-3.217917397898502e-08
1,1,-2.6727707583285894e-07,-3.349525755636491e-08
1,1,-2.686288552043813e-07,-3.4815461723420025e-08
1,1,-2.698294440025599e-07,-3.6139173233781996e-08
1,1,-2.7098577707808664e-07,-3.746577286042563e-08
1,1,-2.723293657472018e-07,-3.879463567252484e-08
1,1,-2.7370097198498544e-07,-4.0125131317240086e-08
1,1,-2.7497735794641584e-07,-4.145662430633438e-08
1,1,-2.763523010544508e-07,-4.2788474307511306e-08
1,1,-2.7789006971671184e-07,-4.412003644036471e-08
1,1,-2.795606656169384e-07,-4.545066157682634e-08
1,1,-2.8136428660783705e-07,-4.677969664599386e-08
1,1,-2.831161697938965e-07,-4.8106484943218266e-08
1,1,-2.8481573341533325e-07,-4.943036644332565e-08
1,1,-2.866878079860989e-07,-5.0750678117845086e-08
1,1,-2.886196158227316e-07,-5.2066754256110576e-08
1,1,-2.9048691258150106e-07,-5.3377926790100964e-08
