sim,ref_pos,ref_neg
2.289094067859262e-06,2.1103691450056572e-05,-2.0874237534668916e-05
2.2522799178894273e-06,2.0565910886301747e-05,-2.0329150074902536e-05
2.2123378631130893e-06,1.999521343571871e-05,-1.975146546267752e-05
2.1692643621979993e-06,1.939222444624284e-05,-1.914221776324155e-05
2.1230578754373737e-06,1.875819891265602e-05,-1.8502049378761303e-05
2.0737188807262274e-06,1.8093424815541808e-05,-1.783155195680487e-05
2.021249888350448e-06,1.739772799692097e-05,-1.7129796743382033e-05
1.9656554545714466e-06,1.667086955304411e-05,-1.6395763700733547e-05
1.9069421939899024e-06,1.5911853834276625e-05,-1.5628754132009972e-05
1.845118790672801e-06,1.5118771123291111e-05,-1.4828487022914416e-05
1.7801960080286645e-06,1.4291209521929878e-05,-1.399471576328462e-05
1.7121866974165723e-06,1.3429433332535415e-05,-1.3127703892521166e-05
1.6411058054752787e-06,1.2533773002043956e-05,-1.2227403140967862e-05
1.5669703801594464e-06,1.1606416418781856e-05,-1.1294743759388612e-05
1.48979957547073e-06,1.0649891431920026e-05,-1.0332310022386129e-05
1.4096146548721657e-06,9.664732430855313e-06,-9.341043468781743e-06
1.326438993375049e-06,8.650266632643173e-06,-8.32070885690139e-06
